Volatility 3 Framework 2.27.0

PID	Process	Args

4	System	-
188	Secure System	-
232	Registry	-
744	smss.exe	-
956	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
1140	wininit.exe	-
1148	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
1212	winlogon.exe	winlogon.exe
1288	services.exe	C:\WINDOWS\system32\services.exe
1308	LsaIso.exe	-
1316	lsass.exe	C:\WINDOWS\system32\lsass.exe
1448	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
1480	fontdrvhost.ex	"fontdrvhost.exe"
1484	fontdrvhost.ex	-
1572	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
1628	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM
1724	dwm.exe	"dwm.exe"
1820	svchost.exe	-
1828	svchost.exe	-
1844	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p
1924	svchost.exe	-
2016	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
2024	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
1396	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
1676	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService
2088	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi
2124	svchost.exe	-
2244	svchost.exe	C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm
2288	svchost.exe	-
2488	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
2496	amdfendrsr.exe	-
2504	atiesrxx.exe	C:\WINDOWS\System32\DriverStore\FileRepository\u0392202.inf_amd64_1f5f080827dfae67\B384926\atiesrxx.exe
2588	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkService -p
2792	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
2864	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule
2920	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p
3000	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc
3068	svchost.exe	-
2056	svchost.exe	-
2252	svchost.exe	-
3104	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager
3132	MemCompression	-
3204	svchost.exe	-
3268	svchost.exe	-
3280	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache
3388	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
3404	svchost.exe	-
3444	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
3568	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
3576	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc
3624	svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository
3740	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p
3768	svchost.exe	-
3828	spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe
3856	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p
3992	svchost.exe	-
4144	svchost.exe	C:\WINDOWS\System32\svchost.exe -k utcsvc -p
4152	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS
4160	svchost.exe	-
4168	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt
4176	svchost.exe	-
4184	svchost.exe	-
4192	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService
4204	RtkBtManServ.e	-
4220	MsMpEng.exe	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MsMpEng.exe"
4252	MpDefenderCore	"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpDefenderCoreService.exe"
4664	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService
4688	vmware-authd.e	-
4700	SenaryAudioApp	-
4708	vmnetdhcp.exe	-
4720	vmware-usbarbi	"C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe"
4732	vmnat.exe	C:\WINDOWS\SysWOW64\vmnat.exe
4932	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer
6080	svchost.exe	C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc
5180	MSPCManagerSer	"C:\Program Files\WindowsApps\Microsoft.MicrosoftPCManager_3.3.15.0_x64__8wekyb3d8bbwe\PCManager\MSPCManagerService.exe"
4644	cowork-svc.exe	-
5192	svchost.exe	-
3192	AggregatorHost	AggregatorHost.exe
5672	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p
5776	NgcIso.exe	-
6148	NisSrv.exe	-
6312	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
6460	atieclxx.exe	-
6504	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc
6212	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
6276	svchost.exe	-
5628	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p
5408	svchost.exe	C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc
1340	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
2632	svchost.exe	-
4828	svchost.exe	C:\WINDOWS\system32\svchost.exe -k whesvc -p -s whesvc
860	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
1892	SearchIndexer.	C:\WINDOWS\system32\SearchIndexer.exe /Embedding
5100	svchost.exe	-
7096	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s lfsvc
7056	sihost.exe	sihost.exe
4772	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
3308	svchost.exe	-
6436	svchost.exe	C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
2228	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker
2380	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
3704	userinit.exe	-
2712	explorer.exe	C:\WINDOWS\Explorer.EXE
7280	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo
7472	CrossDeviceRes	-
7704	CrossDeviceSer	-
7892	RuntimeBroker.	-
8000	SenaryAudioApp	-
8116	svchost.exe	C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
3400	SenaryAudioApp	"C:\Program Files\WindowsApps\SenaryTechnologyLimited.SenarySmartAudio_2.45.21.0_x64__dqz7eftfn33jw\SenaryAudioApp.exe" "/service/StartWithoutResetVolume:False" 
2008	SearchHost.exe	"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca
4008	StartMenuExper	"C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca
