Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xc303db4ca040	338	-	N/A	False	2026-05-14 02:38:08.000000 UTC	N/A	Disabled
188	4	Secure System	0xc303db661040	0	-	N/A	False	2026-05-14 02:38:06.000000 UTC	N/A	Disabled
232	4	Registry	0xc303db6f7040	4	-	N/A	False	2026-05-14 02:38:06.000000 UTC	N/A	Disabled
744	4	smss.exe	0xc303e21d6040	2	-	N/A	False	2026-05-14 02:38:08.000000 UTC	N/A	Disabled
956	988	csrss.exe	0xc303e2efb140	13	-	0	False	2026-05-14 02:38:12.000000 UTC	N/A	Disabled
1140	988	wininit.exe	0xc303ef88d180	2	-	0	False	2026-05-14 02:38:13.000000 UTC	N/A	Disabled
1148	1132	csrss.exe	0xc303db4bc080	15	-	1	False	2026-05-14 02:38:13.000000 UTC	N/A	Disabled
1212	1132	winlogon.exe	0xc303e2e3f080	6	-	1	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1288	1140	services.exe	0xc303ef986100	9	-	0	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1308	1140	LsaIso.exe	0xc303ee3e12c0	1	-	0	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1316	1140	lsass.exe	0xc303e2fa60c0	11	-	0	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1448	1288	svchost.exe	0xc303e5d090c0	29	-	0	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1480	1212	fontdrvhost.ex	0xc303efaf3180	5	-	1	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1484	1140	fontdrvhost.ex	0xc303efae3180	5	-	0	False	2026-05-14 02:38:14.000000 UTC	N/A	Disabled
1572	1288	svchost.exe	0xc303efc330c0	13	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1628	1288	svchost.exe	0xc303e2e3e080	7	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1724	1212	dwm.exe	0xc303e9bbb0c0	20	-	1	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1820	1288	svchost.exe	0xc303e9cf20c0	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1828	1288	svchost.exe	0xc303e9d180c0	2	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1844	1288	svchost.exe	0xc303e9d1f0c0	11	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1924	1288	svchost.exe	0xc303e9ddc0c0	0	-	0	False	2026-05-14 02:38:15.000000 UTC	2026-05-14 02:42:23.000000 UTC	Disabled
2016	1288	svchost.exe	0xc303e9f6b0c0	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2024	1288	svchost.exe	0xc303e9f750c0	4	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1396	1288	svchost.exe	0xc303efc3d080	6	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
1676	1288	svchost.exe	0xc303eab420c0	10	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2088	1288	svchost.exe	0xc303eac780c0	6	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2124	1288	svchost.exe	0xc303efc41080	3	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2244	1288	svchost.exe	0xc303eae900c0	13	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2288	1288	svchost.exe	0xc303eca4c0c0	4	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2488	1288	svchost.exe	0xc303ee0980c0	8	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2496	1288	amdfendrsr.exe	0xc303ee1020c0	4	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2504	1288	atiesrxx.exe	0xc303ee1230c0	4	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2588	1288	svchost.exe	0xc303ee0430c0	11	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2792	1288	svchost.exe	0xc303ee67b0c0	8	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2864	1288	svchost.exe	0xc303ee8290c0	11	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2920	1288	svchost.exe	0xc303ee7940c0	11	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3000	1288	svchost.exe	0xc303eea5b0c0	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3068	1288	svchost.exe	0xc303f016c080	4	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2056	1288	svchost.exe	0xc303f016b080	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
2252	1288	svchost.exe	0xc303f016a080	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3104	1288	svchost.exe	0xc303f01f6080	10	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3132	4	MemCompression	0xc303eedcc080	46	-	N/A	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3204	1288	svchost.exe	0xc303eeff00c0	3	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3268	1288	svchost.exe	0xc303eee5e0c0	3	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3280	1288	svchost.exe	0xc303ef4230c0	8	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3388	1288	svchost.exe	0xc303ef2ac0c0	10	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3404	1288	svchost.exe	0xc303ef4090c0	3	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3444	1288	svchost.exe	0xc303ef6d90c0	6	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3568	1288	svchost.exe	0xc303eccf90c0	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3576	1288	svchost.exe	0xc303eccf20c0	8	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3624	1288	svchost.exe	0xc303f0506080	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3740	1288	svchost.exe	0xc303f05b0080	15	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3768	1288	svchost.exe	0xc303f05a9080	5	-	0	False	2026-05-14 02:38:15.000000 UTC	N/A	Disabled
3828	1288	spoolsv.exe	0xc303ecf020c0	7	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
3856	1288	svchost.exe	0xc303efcd90c0	15	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
3992	1288	svchost.exe	0xc303e9a330c0	6	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4144	1288	svchost.exe	0xc303e5f97080	11	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4152	1288	svchost.exe	0xc303ebe54080	18	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4160	1288	svchost.exe	0xc303e5f32080	6	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4168	1288	svchost.exe	0xc303e5d98080	14	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4176	1288	svchost.exe	0xc303e5d87080	4	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4184	1288	svchost.exe	0xc303e5d76080	6	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4192	1288	svchost.exe	0xc303efa33080	8	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4204	1288	RtkBtManServ.e	0xc303e5c64080	2	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4220	1288	MsMpEng.exe	0xc303e5f54080	58	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4252	1288	MpDefenderCore	0xc303e5cd0080	8	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4664	1288	svchost.exe	0xc303ef94b080	5	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4688	1288	vmware-authd.e	0xc303ecff0080	4	-	0	True	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4700	1288	SenaryAudioApp	0xc303ecdb5080	8	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4708	1288	vmnetdhcp.exe	0xc303eac54080	2	-	0	True	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4720	1288	vmware-usbarbi	0xc303ef96d080	2	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4732	1288	vmnat.exe	0xc303f01e7080	4	-	0	True	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
4932	1288	svchost.exe	0xc303f0730080	7	-	0	False	2026-05-14 02:38:16.000000 UTC	N/A	Disabled
6080	1288	svchost.exe	0xc303eaa420c0	6	-	0	False	2026-05-14 02:38:18.000000 UTC	N/A	Disabled
5180	1288	MSPCManagerSer	0xc303f0d18080	28	-	0	False	2026-05-14 02:38:18.000000 UTC	N/A	Disabled
4644	1288	cowork-svc.exe	0xc303f0d16080	10	-	0	False	2026-05-14 02:38:18.000000 UTC	N/A	Disabled
5192	1288	svchost.exe	0xc303f0d14080	3	-	0	False	2026-05-14 02:38:18.000000 UTC	N/A	Disabled
3192	4144	AggregatorHost	0xc303f10c5080	1	-	0	False	2026-05-14 02:38:18.000000 UTC	N/A	Disabled
5672	1288	svchost.exe	0xc303e9c860c0	6	-	0	False	2026-05-14 02:38:20.000000 UTC	N/A	Disabled
5776	5672	NgcIso.exe	0xc303f13172c0	3	-	0	False	2026-05-14 02:38:20.000000 UTC	N/A	Disabled
6148	1288	NisSrv.exe	0xc303f1604080	4	-	0	False	2026-05-14 02:38:22.000000 UTC	N/A	Disabled
6312	1288	svchost.exe	0xc303ef31f0c0	9	-	0	False	2026-05-14 02:38:29.000000 UTC	N/A	Disabled
6460	2504	atieclxx.exe	0xc303f29e9080	9	-	1	False	2026-05-14 02:38:29.000000 UTC	N/A	Disabled
6504	1288	svchost.exe	0xc303f28f4080	3	-	0	False	2026-05-14 02:38:29.000000 UTC	N/A	Disabled
6212	1288	svchost.exe	0xc303f10e2080	15	-	0	False	2026-05-14 02:40:17.000000 UTC	N/A	Disabled
6276	1288	svchost.exe	0xc303f0738080	11	-	0	False	2026-05-14 02:40:20.000000 UTC	N/A	Disabled
5628	1288	svchost.exe	0xc303e9a6b0c0	11	-	0	False	2026-05-14 02:40:20.000000 UTC	N/A	Disabled
5408	1288	svchost.exe	0xc303f0ff1080	7	-	0	False	2026-05-14 02:40:21.000000 UTC	N/A	Disabled
1340	1288	svchost.exe	0xc303ef684080	5	-	0	False	2026-05-14 02:40:21.000000 UTC	N/A	Disabled
2632	1288	svchost.exe	0xc303efaf4080	8	-	0	False	2026-05-14 02:40:21.000000 UTC	N/A	Disabled
4828	1288	svchost.exe	0xc303f2b0c080	25	-	0	False	2026-05-14 02:40:22.000000 UTC	N/A	Disabled
860	1288	svchost.exe	0xc303f05b1080	9	-	0	False	2026-05-14 02:40:22.000000 UTC	N/A	Disabled
1892	1288	SearchIndexer.	0xc303f2f22080	12	-	0	False	2026-05-14 02:40:22.000000 UTC	N/A	Disabled
5100	1288	svchost.exe	0xc303f22d80c0	0	-	0	False	2026-05-14 02:42:15.000000 UTC	2026-05-14 02:42:20.000000 UTC	Disabled
7096	1288	svchost.exe	0xc303ef8520c0	5	-	0	False	2026-05-14 03:01:17.000000 UTC	N/A	Disabled
7056	3104	sihost.exe	0xc303f21e7080	15	-	1	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
4772	1288	svchost.exe	0xc303ef3180c0	10	-	1	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
3308	1288	svchost.exe	0xc303f24d60c0	2	-	1	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
6436	1288	svchost.exe	0xc303f34730c0	5	-	1	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
2228	1288	svchost.exe	0xc303f38e9080	13	-	0	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
2380	2864	taskhostw.exe	0xc303f38e8080	7	-	1	False	2026-05-14 03:01:24.000000 UTC	N/A	Disabled
3704	1212	userinit.exe	0xc303f2e97080	0	-	1	False	2026-05-14 03:01:25.000000 UTC	2026-05-14 03:01:51.000000 UTC	Disabled
2712	3704	explorer.exe	0xc303ef9370c0	140	-	1	False	2026-05-14 03:01:25.000000 UTC	N/A	Disabled
7280	1288	svchost.exe	0xc303f3ab0080	4	-	0	False	2026-05-14 03:01:25.000000 UTC	N/A	Disabled
7472	7056	CrossDeviceRes	0xc303f3b44080	8	-	1	False	2026-05-14 03:01:25.000000 UTC	N/A	Disabled
7704	1448	CrossDeviceSer	0xc303f3cd0080	11	-	1	False	2026-05-14 03:01:26.000000 UTC	N/A	Disabled
7892	1448	RuntimeBroker.	0xc303f3dac080	3	-	1	False	2026-05-14 03:01:27.000000 UTC	N/A	Disabled
8000	4700	SenaryAudioApp	0xc303f2f130c0	0	-	1	False	2026-05-14 03:01:30.000000 UTC	2026-05-14 03:01:30.000000 UTC	Disabled
8116	1288	svchost.exe	0xc303f0911080	9	-	1	False	2026-05-14 03:01:30.000000 UTC	N/A	Disabled
3400	8000	SenaryAudioApp	0xc303f3f63080	16	-	1	False	2026-05-14 03:01:30.000000 UTC	N/A	Disabled
2008	1448	SearchHost.exe	0xc303f40cb080	33	-	1	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
4008	1448	StartMenuExper	0xc303f40c7080	28	-	1	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
6812	1448	Widgets.exe	0xc303f0fe8080	15	-	1	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
8064	1448	RuntimeBroker.	0xc303f3251080	25	-	1	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
8060	1288	svchost.exe	0xc303f44dc080	14	-	1	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
8388	1288	svchost.exe	0xc303f42a0080	5	-	0	False	2026-05-14 03:01:31.000000 UTC	N/A	Disabled
8520	1288	svchost.exe	0xc303f4673080	9	-	0	False	2026-05-14 03:01:32.000000 UTC	N/A	Disabled
8924	2008	msedgewebview2	0xc303f4972080	51	-	1	False	2026-05-14 03:01:32.000000 UTC	N/A	Disabled
7648	8924	msedgewebview2	0xc303f4acb080	8	-	1	False	2026-05-14 03:01:32.000000 UTC	N/A	Disabled
5560	8924	msedgewebview2	0xc303e26e80c0	24	-	1	False	2026-05-14 03:01:33.000000 UTC	N/A	Disabled
1716	8924	msedgewebview2	0xc303f25e90c0	34	-	1	False	2026-05-14 03:01:33.000000 UTC	N/A	Disabled
9268	8924	msedgewebview2	0xc303f4b9b0c0	10	-	1	False	2026-05-14 03:01:33.000000 UTC	N/A	Disabled
9480	8924	msedgewebview2	0xc303f47f8080	26	-	1	False	2026-05-14 03:01:33.000000 UTC	N/A	Disabled
10096	3444	ctfmon.exe	0xc303f1a72080	17	-	1	False	2026-05-14 03:01:35.000000 UTC	N/A	Disabled
9496	1288	svchost.exe	0xc303f4b7b080	6	-	1	False	2026-05-14 03:01:38.000000 UTC	N/A	Disabled
9656	2712	SecurityHealth	0xc303f4b3a080	1	-	1	False	2026-05-14 03:01:38.000000 UTC	N/A	Disabled
